Кол-во комнат,Район,Этажность,Общая площадь,Жилая площадь,Площадь кухни,Планировка,Цена
1,"Автозаводский, 6А квартал",1/3,32,17,5,УЛУ/КИР,2400 тыс. pуб.
1,"Автозаводский, 17 квартал",7/9,37,18,9,УЛЬ/ПАН,2400 тыс. pуб.
1,"Автозаводский, 15 квартал",1/9,33,17,0,МСК/ПАН,2400 тыс. pуб.
1,"Автозаводский, 14 квартал",12/16,32,17,8,ТАШ/ПАН,2400 тыс. pуб.
1,"Автозаводский, 11 квартал",1/9,33,17,9,МСК/ПАН,2400 тыс. pуб.
1,"Автозаводский, 20 квартал",3/9,34,17,8,МСК/ПАН,2400 тыс. pуб.
1,"Автозаводский, 18 квартал",1/10,34,17,9,МСК/ПАН,2400 тыс. pуб.
1,"Автозаводский, 9 квартал",9/9,33,17,8,МСК/ПАН,2411 тыс. pуб.
1,"Автозаводский, 6А квартал",2/3,28,16,7,УЛУ/КИР,2414 тыс. pуб.
1,"Автозаводский, 2 квартал",6/9,35,18,7,СТМ/ПАН,2430 тыс. pуб.
1,"Автозаводский, 2 квартал",6/9,35,18,7,ЭКС/ПАН,2430 тыс. pуб.
1,"Автозаводский, 10 квартал",6/9,34,0,8,МСК/ПАН,2450 тыс. pуб.
1,"Автозаводский, 15 квартал",7/9,33,17,8,МСК/ПАН,2450 тыс. pуб.
1,"Автозаводский, 15 квартал",6/9,33,17,8,МСК/ПАН,2450 тыс. pуб.
1,"Автозаводский, 20 квартал",3/9,34,17,8,МСК/ПАН,2450 тыс. pуб.
1,"Автозаводский, 20 квартал",8/10,30,14,8,МСК/ПАН,2450 тыс. pуб.
1,"Автозаводский, 20 квартал",5/9,30,14,9,МСК/ПАН,2450 тыс. pуб.
1,"Автозаводский, 16 квартал",7/9,33,17,9,МСК/ПАН,2470 тыс. pуб.
1,"Автозаводский, 16 квартал",1/9,34,17,8,МСК/ПАН,2470 тыс. pуб.
1,"Автозаводский, 14 квартал",4/9,33,7,9,МСК/ПАН,2470 тыс. pуб.
1,"Автозаводский, 11 квартал",3/16,32,19,8,ТАШ/ПАН,2470 тыс. pуб.
1,"Автозаводский, 2 квартал",13/16,36,18,11,МАК/ПАН,2499 тыс. pуб.
1,"Автозаводский, 1 квартал",5/9,32,18,8,УЛУ/КИР,2500 тыс. pуб.
1,"Автозаводский, 5 квартал",3/9,34,17,9,МСК/ПАН,2500 тыс. pуб.
1,"Автозаводский, 4 квартал",3/9,33,17,9,МСК/ПАН,2500 тыс. pуб.
1,"Автозаводский, 3А квартал",2/16,32,17,8,ТАШ/ПАН,2500 тыс. pуб.
1,"Автозаводский, 10 квартал",10/12,32,17,8,ТАШ/ПАН,2500 тыс. pуб.
1,"Автозаводский, 17 квартал",8/9,29,14,8,УЛЬ/ПАН,2500 тыс. pуб.
1,"Автозаводский, 14 квартал",4/9,32,17,8,МСК/ПАН,2500 тыс. pуб.
1,"Автозаводский, 13 квартал",1/9,33,17,8,МСК/ПАН,2500 тыс. pуб.
1,"Автозаводский, 20 квартал",2/9,34,17,8,МСК/ПАН,2500 тыс. pуб.
1,"Автозаводский, 20 квартал",2/9,36,17,8,МСК/ПАН,2500 тыс. pуб.
1,"Автозаводский, 20 квартал",4/9,34,17,8,МСК/ПАН,2500 тыс. pуб.
1,"Автозаводский, 19 квартал",1/9,34,17,9,МСК/ПАН,2500 тыс. pуб.
1,"Автозаводский, 18Б квартал",2/26,42,18,10,УЛУ/КИР,2500 тыс. pуб.
1,"Автозаводский, 18Б квартал",7/10,21,0,0,?/-,2500 тыс. pуб.
1,"Автозаводский, 5 квартал",2/5,33,17,7,СТМ/ПАН,2530 тыс. pуб.
1,"Автозаводский, 3Б квартал",9/15,25,16,4,УЛУ/КИР,2530 тыс. pуб.
1,"Автозаводский, 2 квартал",9/12,38,20,10,УЛУ/КИР,2548 тыс. pуб.
1,"Автозаводский, 5 квартал",5/9,34,17,9,МСК/ПАН,2550 тыс. pуб.
1,"Автозаводский, 4 квартал",6/9,33,17,8,МСК/ПАН,2550 тыс. pуб.
1,"Автозаводский, 3Б квартал",7/16,26,0,0,УЛУ/КИР,2550 тыс. pуб.
1,"Автозаводский, 3 квартал",3/5,32,17,7,СТМ/ПАН,2550 тыс. pуб.
1,"Автозаводский, 16 квартал",9/9,33,17,8,МСК/ПАН,2550 тыс. pуб.
1,"Автозаводский, 16 квартал",2/9,34,17,9,МСК/ПАН,2550 тыс. pуб.
1,"Автозаводский, 16 квартал",16/16,38,20,10,ЛЕН/ПАН,2550 тыс. pуб.
1,"Автозаводский, 16 квартал",3/16,35,20,10,ЛЕН/ПАН,2550 тыс. pуб.
1,"Автозаводский, 14 квартал",3/9,37,0,0,УЛУ/КИР,2550 тыс. pуб.
1,"Автозаводский, 21 квартал",5/9,33,17,8,МСК/ПАН,2550 тыс. pуб.
1,"Автозаводский, 20 квартал",1/9,35,17,10,МСК/ПАН,2550 тыс. pуб.
1,"Автозаводский, 18 квартал",8/10,35,18,9,УЛЬ/ПАН,2550 тыс. pуб.
1,"Автозаводский, 18А квартал",1/10,40,19,9,УЛЬ/ПАН,2550 тыс. pуб.
1,"Автозаводский, 17 квартал",3/16,35,20,10,ЛЕН/ПАН,2550 тыс. pуб.
